,site_no,analyze_start,analyze_end,analyze_range,quantile,valid,missing,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,annual_duration,event_duration,event_hmf,inter_annual,intra_annual,timing,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
1134,9429100,1990-10-01,2020-09-30,30,0.9,True,0.0,11000.0,29,0.1102983747984199,0.07998614742724634,0.03438704112577324,36.13793103448276,2.790074340027866,0.00729625974576347,0.97,10.37931034482759,198.8275862068965,0.116293890964608,0.206001660993408,0.025001672010624,0.028074454393104,0.008433489824097883,0.005820274457370948,0.013104470269548,0.04165294867473601,0.0369922222591488,0.063855621756864,0.011254247512704,0.236339197766784,33.71946626,-114.4980105,1956-03-24,2020-09-30,64.5,AZ,False
1135,9429200,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,76.0,29,0.001308318928052941,0.0005180075348782147,0.0002247728009602494,35.96551724137931,1.489900436767891,4.936863406405693e-05,0.97,21.96551724137931,200.1379310344828,0.0001598901503034846,6.787088397686963e-05,0.0001397638472573103,0.000174848599037952,0.0001876914896053478,0.0002034549982657309,0.0002067467544552175,0.00016142301572796,0.0001297663669725696,0.0001607544050088282,0.000136029600370944,0.000116334667223712,33.42780713,-114.6732907,1967-12-01,2020-09-30,52.8,AZ,False
1136,9523400,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,1.7,29,0.0003044063040501411,0.00011641565731076,2.387098451064165e-05,35.82758620689656,1.296511434265958,1.122268482670627e-05,0.97,27.89655172413793,222.9655172413793,8.3581137098424e-06,1.04621686796088e-05,3.33268896352448e-05,5.267139692358687e-05,5.63252309548853e-05,4.30878199256512e-05,2.83170731347728e-05,3.177569770316578e-05,2.48650715426256e-05,1.95804683627472e-05,1.06874575111584e-05,1.00238238942408e-05,32.82448865,-114.5418948,1966-10-01,2020-09-30,54.0,AZ,False
1138,9505800,1990-10-01,2020-09-30,30,0.9,True,0.0,55.12000000000044,28,0.02682496030077581,0.02621523348091168,0.0145360210384877,39.14285714285715,10.78499922696351,0.007760456187958715,0.93,3.892857142857143,193.9642857142857,0.01364255786231028,0.01109929229127424,0.01232361454573126,0.005613308759767552,6.180049829802026e-05,0.0,0.0002651965563346832,0.001283604015586633,0.0005034970921643684,0.0006572725204973734,0.001344662385968963,0.005438829185874499,34.53863606,-111.6940356,1964-12-05,2020-09-30,55.8,AZ,False
1140,9513780,1990-10-01,2020-09-30,30,0.9,True,0.0,7.15,28,0.008839100850686395,0.008133946225418161,0.006271445154439959,39.10714285714285,11.41687925170068,0.002972717598670387,0.93,3.642857142857143,159.1071428571429,0.006488797877435543,0.003366353389971197,0.002469499959108269,0.0003095474105890473,8.746507577807998e-06,0.0,0.0004337827374994445,0.001897376422871866,9.438582635450641e-05,0.0009030962761317505,0.0007156682011602144,0.002209266892913018,33.97420168,-112.0990458,1965-10-01,2020-09-30,55.0,AZ,False
1141,9499000,1990-10-01,2020-09-30,30,0.9,True,0.0,199.0,28,0.0869783819997744,0.0845588935399392,0.05848643696524416,39.07142857142857,11.2641156462585,0.02221346152329309,0.93,3.892857142857143,167.1785714285714,0.05839067100814849,0.03407794302098592,0.03172046360088816,0.00884646766441152,0.0,0.0,0.000850918974982272,0.0035842331752416,0.00180098542397592,0.00321887789366976,0.006738847684563456,0.0172289888779176,33.9800413,-111.3034659,1940-12-21,2020-09-30,79.8,AZ,False
1143,9523000,1990-10-01,2020-09-30,30,0.9,True,0.0,9020.0,28,0.0882409897370304,0.0587606281818192,0.0219588893044848,38.92857142857143,5.161859023912595,0.009540861194077672,0.93,6.321428571428571,189.2857142857143,0.093663067161888,0.07567258164520321,0.01565074376929728,0.0251874952485408,0.01168484480884224,0.005864791095129601,0.01283784913899753,0.09968572063154879,0.0741230837992512,0.05229555230088,0.0121839462202752,0.182514535749504,32.8714319,-114.480504,1939-10-01,2020-09-30,81.0,AZ,False
1144,9444000,1990-10-01,2020-09-30,30,0.9,True,0.0,159.0,28,0.03332026187503488,0.02499072067246464,0.0136160666918064,38.78571428571428,10.25766723356009,0.008059641791286966,0.93,3.857142857142857,203.5,0.01803762287220902,0.01684442797830778,0.0123597938376612,0.00860052857021568,0.009475587090587519,0.00276952351834368,0.00127548138477312,0.00373994023322016,0.00831101713057728,0.006040944534458881,0.00866577058478208,0.0046327655522016,33.24716667,-108.88,1927-10-01,2020-09-30,93.0,AZ,False
1145,9428500,1990-10-01,2020-09-30,30,0.9,True,0.0,1310.0,28,0.010948425569424,0.0003302876987424,4.01937411168e-05,37.89285714285715,4.818521954236241,0.0013980917124456,0.93,7.857142857142857,274.0714285714286,0.0011254247512704,0.0,0.000244657554624,0.0007665936711552001,0.0007817920950030546,0.00354264139095552,0.005250351122231041,0.00285433813728,0.0001141735254912,0.0,0.0,0.0,34.16779378,-114.2766175,1954-10-01,2020-09-30,66.0,AZ,False
1146,9529150,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,5.98,28,0.0002024209229260896,0.0001226765405503584,6.4541536686792e-05,37.82142857142857,1.742685971357512,8.787888094086346e-06,0.93,19.17857142857143,150.5925925925926,3.058363349008601e-05,2.530016649080185e-05,1.995686064688828e-05,2.047338900285381e-05,2.57624405019072e-05,1.634500663007261e-05,1.522096199834112e-05,1.385495731835712e-05,2.76034886004528e-05,4.750992176530054e-05,5.063362848339839e-05,4.244937339860412e-05,32.726991,-114.5055044,1966-10-01,2020-09-30,54.0,AZ,False
