,datetime,00060_Mean,site_no
15587,1991-06-05 00:00:00+00:00,0.0,11447650
15588,1991-06-06 00:00:00+00:00,0.0,11447650
15589,1991-06-07 00:00:00+00:00,0.0,11447650
15590,1991-06-08 00:00:00+00:00,0.0,11447650
15591,1991-06-09 00:00:00+00:00,0.0,11447650
15592,1991-06-10 00:00:00+00:00,0.0,11447650
15593,1991-06-11 00:00:00+00:00,0.0,11447650
15594,1991-06-12 00:00:00+00:00,0.0,11447650
15595,1991-06-13 00:00:00+00:00,0.0,11447650
15596,1991-06-14 00:00:00+00:00,0.0,11447650
15597,1991-06-15 00:00:00+00:00,0.0,11447650
15598,1991-06-16 00:00:00+00:00,0.0,11447650
15599,1991-06-17 00:00:00+00:00,0.0,11447650
15600,1991-06-18 00:00:00+00:00,0.0,11447650
15601,1991-06-19 00:00:00+00:00,0.0,11447650
15602,1991-06-20 00:00:00+00:00,0.0,11447650
15603,1991-06-21 00:00:00+00:00,0.0,11447650
15604,1991-06-22 00:00:00+00:00,0.0,11447650
15605,1991-06-23 00:00:00+00:00,0.0,11447650
15606,1991-06-24 00:00:00+00:00,0.0,11447650
15607,1991-06-25 00:00:00+00:00,0.0,11447650
15608,1991-06-26 00:00:00+00:00,0.0,11447650
15609,1991-06-27 00:00:00+00:00,0.0,11447650
15610,1991-06-28 00:00:00+00:00,0.0,11447650
15611,1991-06-29 00:00:00+00:00,0.0,11447650
15612,1991-06-30 00:00:00+00:00,0.0,11447650
15613,1991-07-01 00:00:00+00:00,0.0,11447650
15614,1991-07-02 00:00:00+00:00,0.0,11447650
15615,1991-07-03 00:00:00+00:00,0.0,11447650
15616,1991-07-04 00:00:00+00:00,0.0,11447650
15617,1991-07-05 00:00:00+00:00,0.0,11447650
15618,1991-07-06 00:00:00+00:00,0.0,11447650
15619,1991-07-07 00:00:00+00:00,0.0,11447650
15620,1991-07-08 00:00:00+00:00,0.0,11447650
15621,1991-07-09 00:00:00+00:00,0.0,11447650
15622,1991-07-10 00:00:00+00:00,0.0,11447650
15623,1991-07-11 00:00:00+00:00,0.0,11447650
15624,1991-07-12 00:00:00+00:00,0.0,11447650
15625,1991-07-13 00:00:00+00:00,0.0,11447650
15626,1991-07-14 00:00:00+00:00,0.0,11447650
15627,1991-07-15 00:00:00+00:00,0.0,11447650
15628,1991-07-16 00:00:00+00:00,0.0,11447650
15629,1991-07-17 00:00:00+00:00,0.0,11447650
15630,1991-07-18 00:00:00+00:00,0.0,11447650
15631,1991-07-19 00:00:00+00:00,0.0,11447650
15632,1991-07-20 00:00:00+00:00,0.0,11447650
15633,1991-07-21 00:00:00+00:00,0.0,11447650
15634,1991-07-22 00:00:00+00:00,0.0,11447650
15635,1991-07-23 00:00:00+00:00,0.0,11447650
15636,1991-07-24 00:00:00+00:00,0.0,11447650
15637,1991-07-25 00:00:00+00:00,0.0,11447650
15638,1991-07-26 00:00:00+00:00,0.0,11447650
15639,1991-07-27 00:00:00+00:00,0.0,11447650
15640,1991-07-28 00:00:00+00:00,0.0,11447650
15641,1991-07-29 00:00:00+00:00,0.0,11447650
15642,1991-07-30 00:00:00+00:00,0.0,11447650
15643,1991-07-31 00:00:00+00:00,0.0,11447650
15644,1991-08-01 00:00:00+00:00,0.0,11447650
15645,1991-08-02 00:00:00+00:00,0.0,11447650
15646,1991-08-03 00:00:00+00:00,0.0,11447650
15647,1991-08-04 00:00:00+00:00,0.0,11447650
15648,1991-08-05 00:00:00+00:00,0.0,11447650
15649,1991-08-06 00:00:00+00:00,0.0,11447650
15650,1991-08-07 00:00:00+00:00,0.0,11447650
15651,1991-08-08 00:00:00+00:00,0.0,11447650
15652,1991-08-09 00:00:00+00:00,0.0,11447650
15653,1991-08-10 00:00:00+00:00,0.0,11447650
15654,1991-08-11 00:00:00+00:00,0.0,11447650
15655,1991-08-12 00:00:00+00:00,0.0,11447650
15656,1991-08-13 00:00:00+00:00,0.0,11447650
15657,1991-08-14 00:00:00+00:00,0.0,11447650
15658,1991-08-15 00:00:00+00:00,0.0,11447650
15659,1991-08-16 00:00:00+00:00,0.0,11447650
15660,1991-08-17 00:00:00+00:00,0.0,11447650
15661,1991-08-18 00:00:00+00:00,0.0,11447650
15662,1991-08-19 00:00:00+00:00,0.0,11447650
15663,1991-08-20 00:00:00+00:00,0.0,11447650
15664,1991-08-21 00:00:00+00:00,0.0,11447650
15665,1991-08-22 00:00:00+00:00,0.0,11447650
15666,1991-08-23 00:00:00+00:00,0.0,11447650
15667,1991-08-24 00:00:00+00:00,0.0,11447650
15668,1991-08-25 00:00:00+00:00,0.0,11447650
15669,1991-08-26 00:00:00+00:00,0.0,11447650
15670,1991-08-27 00:00:00+00:00,0.0,11447650
15671,1991-08-28 00:00:00+00:00,0.0,11447650
15672,1991-08-29 00:00:00+00:00,0.0,11447650
15673,1991-08-30 00:00:00+00:00,0.0,11447650
15674,1991-08-31 00:00:00+00:00,0.0,11447650
15675,1991-09-01 00:00:00+00:00,0.0,11447650
15676,1991-09-02 00:00:00+00:00,0.0,11447650
15677,1991-09-03 00:00:00+00:00,0.0,11447650
15678,1991-09-04 00:00:00+00:00,0.0,11447650
15679,1991-09-05 00:00:00+00:00,0.0,11447650
15680,1991-09-06 00:00:00+00:00,0.0,11447650
15681,1991-09-07 00:00:00+00:00,0.0,11447650
15682,1991-09-08 00:00:00+00:00,0.0,11447650
15683,1991-09-09 00:00:00+00:00,0.0,11447650
15684,1991-09-10 00:00:00+00:00,0.0,11447650
15685,1991-09-11 00:00:00+00:00,0.0,11447650
15686,1991-09-12 00:00:00+00:00,0.0,11447650
15687,1991-09-13 00:00:00+00:00,0.0,11447650
15688,1991-09-14 00:00:00+00:00,0.0,11447650
15689,1991-09-15 00:00:00+00:00,0.0,11447650
15690,1991-09-16 00:00:00+00:00,0.0,11447650
15691,1991-09-17 00:00:00+00:00,0.0,11447650
15692,1991-09-18 00:00:00+00:00,0.0,11447650
15693,1991-09-19 00:00:00+00:00,0.0,11447650
15694,1991-09-20 00:00:00+00:00,0.0,11447650
15695,1991-09-21 00:00:00+00:00,0.0,11447650
15696,1991-09-22 00:00:00+00:00,0.0,11447650
15697,1991-09-23 00:00:00+00:00,0.0,11447650
15698,1991-09-24 00:00:00+00:00,0.0,11447650
15699,1991-09-25 00:00:00+00:00,0.0,11447650
15700,1991-09-26 00:00:00+00:00,0.0,11447650
15701,1991-09-27 00:00:00+00:00,0.0,11447650
15702,1991-09-28 00:00:00+00:00,0.0,11447650
15703,1991-09-29 00:00:00+00:00,0.0,11447650
15704,1991-09-30 00:00:00+00:00,0.0,11447650
15705,1991-10-01 00:00:00+00:00,0.0,11447650
15706,1991-10-02 00:00:00+00:00,0.0,11447650
15707,1991-10-03 00:00:00+00:00,0.0,11447650
15708,1991-10-04 00:00:00+00:00,0.0,11447650
15709,1991-10-05 00:00:00+00:00,0.0,11447650
15710,1991-10-06 00:00:00+00:00,0.0,11447650
15711,1991-10-07 00:00:00+00:00,0.0,11447650
15712,1991-10-08 00:00:00+00:00,0.0,11447650
15713,1991-10-09 00:00:00+00:00,0.0,11447650
15714,1991-10-10 00:00:00+00:00,0.0,11447650
15715,1991-10-11 00:00:00+00:00,0.0,11447650
15716,1991-10-12 00:00:00+00:00,0.0,11447650
15717,1991-10-13 00:00:00+00:00,0.0,11447650
15718,1991-10-14 00:00:00+00:00,0.0,11447650
15719,1991-10-15 00:00:00+00:00,0.0,11447650
15720,1991-10-16 00:00:00+00:00,0.0,11447650
15721,1991-10-17 00:00:00+00:00,0.0,11447650
15722,1991-10-18 00:00:00+00:00,0.0,11447650
15723,1991-10-19 00:00:00+00:00,0.0,11447650
15724,1991-10-20 00:00:00+00:00,0.0,11447650
15725,1991-10-21 00:00:00+00:00,0.0,11447650
15726,1991-10-22 00:00:00+00:00,0.0,11447650
15727,1991-10-23 00:00:00+00:00,0.0,11447650
