,index,datetime,00060_Mean,00060_Mean_cd,site_no,flow_bool
247,22363,1990-09-05 00:00:00+00:00,209952000.0,A,06774000,1
248,22364,1990-09-06 00:00:00+00:00,191808000.0,A,06774000,1
249,22365,1990-09-07 00:00:00+00:00,85536000.0,A,06774000,1
250,22366,1990-09-08 00:00:00+00:00,14688000.0,A,06774000,1
251,22367,1990-09-09 00:00:00+00:00,0.0,A,06774000,0
252,22368,1990-09-10 00:00:00+00:00,0.0,A,06774000,0
253,22369,1990-09-11 00:00:00+00:00,0.0,A,06774000,0
254,22370,1990-09-12 00:00:00+00:00,0.0,A,06774000,0
255,22371,1990-09-13 00:00:00+00:00,0.0,A,06774000,0
256,22372,1990-09-14 00:00:00+00:00,0.0,A,06774000,0
257,22373,1990-09-15 00:00:00+00:00,0.0,A,06774000,0
258,22374,1990-09-16 00:00:00+00:00,0.0,A,06774000,0
259,22375,1990-09-17 00:00:00+00:00,0.0,A,06774000,0
260,22376,1990-09-18 00:00:00+00:00,0.0,A,06774000,0
261,22377,1990-09-19 00:00:00+00:00,0.0,A,06774000,0
262,22378,1990-09-20 00:00:00+00:00,0.0,A,06774000,0
263,22379,1990-09-21 00:00:00+00:00,0.0,A,06774000,0
264,22380,1990-09-22 00:00:00+00:00,0.0,A,06774000,0
265,22381,1990-09-23 00:00:00+00:00,0.0,A,06774000,0
266,22382,1990-09-24 00:00:00+00:00,0.0,A,06774000,0
267,22383,1990-09-25 00:00:00+00:00,0.0,A,06774000,0
268,22384,1990-09-26 00:00:00+00:00,0.0,A,06774000,0
269,22385,1990-09-27 00:00:00+00:00,0.0,A,06774000,0
270,22386,1990-09-28 00:00:00+00:00,0.0,A,06774000,0
271,22387,1990-09-29 00:00:00+00:00,0.0,A,06774000,0
272,22388,1990-09-30 00:00:00+00:00,0.0,A,06774000,0
273,22389,1990-10-01 00:00:00+00:00,0.0,A,06774000,0
274,22390,1990-10-02 00:00:00+00:00,0.0,A,06774000,0
275,22391,1990-10-03 00:00:00+00:00,0.0,A,06774000,0
276,22392,1990-10-04 00:00:00+00:00,0.0,A,06774000,0
277,22393,1990-10-05 00:00:00+00:00,0.0,A,06774000,0
278,22394,1990-10-06 00:00:00+00:00,0.0,A,06774000,0
279,22395,1990-10-07 00:00:00+00:00,0.0,A,06774000,0
280,22396,1990-10-08 00:00:00+00:00,0.0,A,06774000,0
281,22397,1990-10-09 00:00:00+00:00,0.0,A,06774000,0
282,22398,1990-10-10 00:00:00+00:00,0.0,A,06774000,0
283,22399,1990-10-11 00:00:00+00:00,0.0,A,06774000,0
284,22400,1990-10-12 00:00:00+00:00,0.0,A,06774000,0
285,22401,1990-10-13 00:00:00+00:00,0.0,A,06774000,0
286,22402,1990-10-14 00:00:00+00:00,0.0,A,06774000,0
287,22403,1990-10-15 00:00:00+00:00,0.0,A,06774000,0
288,22404,1990-10-16 00:00:00+00:00,0.0,A,06774000,0
289,22405,1990-10-17 00:00:00+00:00,0.0,A,06774000,0
290,22406,1990-10-18 00:00:00+00:00,0.0,A,06774000,0
291,22407,1990-10-19 00:00:00+00:00,0.0,A,06774000,0
292,22408,1990-10-20 00:00:00+00:00,0.0,A,06774000,0
293,22409,1990-10-21 00:00:00+00:00,0.0,A,06774000,0
294,22410,1990-10-22 00:00:00+00:00,0.0,A,06774000,0
295,22411,1990-10-23 00:00:00+00:00,0.0,A,06774000,0
296,22412,1990-10-24 00:00:00+00:00,0.0,A,06774000,0
297,22413,1990-10-25 00:00:00+00:00,0.0,A,06774000,0
298,22414,1990-10-26 00:00:00+00:00,0.0,A,06774000,0
299,22415,1990-10-27 00:00:00+00:00,0.0,A,06774000,0
300,22416,1990-10-28 00:00:00+00:00,0.0,A,06774000,0
301,22417,1990-10-29 00:00:00+00:00,0.0,A,06774000,0
302,22418,1990-10-30 00:00:00+00:00,0.0,A,06774000,0
303,22419,1990-10-31 00:00:00+00:00,0.0,A,06774000,0
304,22420,1990-11-01 00:00:00+00:00,0.0,A,06774000,0
305,22421,1990-11-02 00:00:00+00:00,0.0,A,06774000,0
306,22422,1990-11-03 00:00:00+00:00,0.0,A,06774000,0
307,22423,1990-11-04 00:00:00+00:00,0.0,A,06774000,0
308,22424,1990-11-05 00:00:00+00:00,0.0,A,06774000,0
309,22425,1990-11-06 00:00:00+00:00,0.0,A,06774000,0
310,22426,1990-11-07 00:00:00+00:00,0.0,A,06774000,0
311,22427,1990-11-08 00:00:00+00:00,0.0,A,06774000,0
312,22428,1990-11-09 00:00:00+00:00,0.0,A,06774000,0
313,22429,1990-11-10 00:00:00+00:00,0.0,A,06774000,0
314,22430,1990-11-11 00:00:00+00:00,0.0,A,06774000,0
315,22431,1990-11-12 00:00:00+00:00,0.0,A,06774000,0
316,22432,1990-11-13 00:00:00+00:00,0.0,A,06774000,0
317,22433,1990-11-14 00:00:00+00:00,0.0,A,06774000,0
318,22434,1990-11-15 00:00:00+00:00,0.0,A,06774000,0
319,22435,1990-11-16 00:00:00+00:00,0.0,A,06774000,0
320,22436,1990-11-17 00:00:00+00:00,0.0,A,06774000,0
321,22437,1990-11-18 00:00:00+00:00,0.0,A,06774000,0
322,22438,1990-11-19 00:00:00+00:00,0.0,A,06774000,0
323,22439,1990-11-20 00:00:00+00:00,0.0,A,06774000,0
324,22440,1990-11-21 00:00:00+00:00,0.0,A,06774000,0
325,22441,1990-11-22 00:00:00+00:00,0.0,A,06774000,0
326,22442,1990-11-23 00:00:00+00:00,0.0,A,06774000,0
327,22443,1990-11-24 00:00:00+00:00,0.0,A,06774000,0
328,22444,1990-11-25 00:00:00+00:00,0.0,A,06774000,0
329,22445,1990-11-26 00:00:00+00:00,0.0,A,06774000,0
330,22446,1990-11-27 00:00:00+00:00,0.0,A,06774000,0
331,22447,1990-11-28 00:00:00+00:00,0.0,A,06774000,0
332,22448,1990-11-29 00:00:00+00:00,0.0,A,06774000,0
333,22449,1990-11-30 00:00:00+00:00,0.0,A,06774000,0
334,22450,1990-11-30 00:00:00+00:00,0.0,A,06774000,0
335,22451,1990-12-01 00:00:00+00:00,0.0,A,06774000,0
336,22452,1990-12-02 00:00:00+00:00,0.0,A,06774000,0
337,22453,1990-12-03 00:00:00+00:00,0.0,A,06774000,0
338,22454,1990-12-04 00:00:00+00:00,0.0,A,06774000,0
339,22455,1990-12-05 00:00:00+00:00,0.0,A,06774000,0
340,22456,1990-12-06 00:00:00+00:00,0.0,A,06774000,0
341,22457,1990-12-07 00:00:00+00:00,0.0,A,06774000,0
342,22458,1990-12-08 00:00:00+00:00,0.0,A,06774000,0
343,22459,1990-12-09 00:00:00+00:00,0.0,A,06774000,0
344,22460,1990-12-10 00:00:00+00:00,0.0,A,06774000,0
345,22461,1990-12-11 00:00:00+00:00,0.0,A,06774000,0
346,22462,1990-12-12 00:00:00+00:00,0.0,A,06774000,0
347,22463,1990-12-13 00:00:00+00:00,0.0,A,06774000,0
348,22464,1990-12-14 00:00:00+00:00,0.0,A,06774000,0
349,22465,1990-12-15 00:00:00+00:00,0.0,A,06774000,0
350,22466,1990-12-16 00:00:00+00:00,0.0,A,06774000,0
351,22467,1990-12-17 00:00:00+00:00,0.0,A,06774000,0
352,22468,1990-12-18 00:00:00+00:00,0.0,A,06774000,0
353,22469,1990-12-19 00:00:00+00:00,0.0,A,06774000,0
354,22470,1990-12-20 00:00:00+00:00,0.0,A,06774000,0
355,22471,1990-12-21 00:00:00+00:00,0.0,A,06774000,0
