,Parameter Code,Count
970,p68651,328
971,p68652,328
972,p68653,325
973,p68654,326
974,p68655,329
975,p68656,326
976,p68657,326
977,p68658,326
978,p68659,328
979,p68660,328
980,p68661,326
981,p68662,326
982,p68663,331
983,p68664,326
984,p68665,326
985,p68666,326
986,p68668,326
987,p68669,326
988,p68670,326
989,p68671,326
990,p68672,326
991,p68673,326
992,p68675,326
993,p68676,326
994,p68677,332
995,p68678,328
996,p68679,328
997,p68682,332
998,p68683,326
999,p68684,326
1000,p68685,314
1001,p68686,326
1002,p68687,328
1003,p68688,328
1004,p68689,326
1005,p68690,314
1006,p68691,314
1007,p68692,329
1008,p68693,334
1009,p68694,332
1010,p68695,328
1011,p68696,326
1012,p68697,326
1013,p68698,326
1014,p68699,328
1015,p68700,326
1016,p68701,326
1017,p68702,326
1018,p68703,328
1019,p68704,328
1020,p68708,328
1021,p68710,332
1022,p68711,332
1023,p68712,328
1024,p68713,326
1025,p68714,314
1026,p68769,328
1027,p68871,320
1028,p68872,328
1029,p68873,328
1030,p77146,217
1031,p77223,379
1032,p77571,211
1033,p81436,217
1034,p81696,219
1035,p90509,75
1036,p90511,75
1037,p90516,328
1038,p90517,328
1039,p90518,328
1040,p90519,328
1041,p90520,328
1042,p90521,328
1043,p90522,328
1044,p90523,328
1045,p90524,328
1046,p90527,328
1047,p90529,328
1048,p90552,328
1049,p90553,328
1050,p90554,328
1051,p90555,322
1052,p90556,328
1053,p90558,328
1054,p90624,328
1055,p90625,328
1056,p90737,192
1057,p90738,191
1058,p90781,75
1059,p90808,328
1060,p90827,75
1061,p90832,75
1062,p90836,75
1063,p90851,227
1064,p91100,192
1065,p91119,75
1066,p91616,75
1067,p91680,75
1068,p91682,75
1069,p91683,75
1070,p91742,233
1071,p91748,225
1072,p91749,183
1073,p91755,75
1074,p91756,75
1075,p91769,165
1076,p91772,165
1077,p91773,165
1078,p91774,165
1079,p91775,165
1080,p91776,165
1081,p91777,165
1082,p91778,165
1083,p91779,165
1084,p91780,165
1085,p91781,165
1086,p91782,165
1087,p91783,165
1088,p91784,165
1089,p91786,165
1090,p91787,165
1091,p91788,165
1092,p91789,165
1093,p91790,165
1094,p91986,328
1095,p99963,209
1096,p00694,437
1097,p49570,432
1098,p90904,49
1099,p90905,12
1100,p99872,296
1101,p50286,326
1102,p50624,487
1103,p62649,287
1104,p62721,287
1105,p62722,287
1106,p62855,974
1107,p63041,217
1108,p63162,478
1109,p67609,201
1110,p68511,325
1111,p68641,322
1112,p68646,322
1113,p68680,153
1114,p71834,97
1115,p72219,866
1116,p72220,838
1117,p82690,232
1118,p84174,156
1119,p89011,93
1120,p00668,281
1121,p01003,199
1122,p01098,95
1123,p01153,107
1124,p01170,245
1125,p01375,128
1126,p01376,136
1127,p01377,136
1128,p01378,136
1129,p01379,136
1130,p01380,136
1131,p01381,136
1132,p30241,152
1133,p30243,175
1134,p30272,127
1135,p30274,132
1136,p30278,128
1137,p30280,130
1138,p30283,87
1139,p30287,127
1140,p30289,87
1141,p30297,127
1142,p30301,127
1143,p30305,127
1144,p30309,24
1145,p30312,127
1146,p30320,127
1147,p30322,127
1148,p30327,127
1149,p30329,126
1150,p32002,210
1151,p34480,135
1152,p62456,127
1153,p62457,127
1154,p62458,127
1155,p62459,127
1156,p62463,140
1157,p62465,127
1158,p62466,127
1159,p62468,127
1160,p62470,127
1161,p62475,127
1162,p62477,127
1163,p62597,108
1164,p63610,178
1165,p63631,173
1166,p63650,169
1167,p64095,178
1168,p64097,178
1169,p64099,178
1170,p64100,178
1171,p64101,178
1172,p64102,178
1173,p64103,178
1174,p64104,178
1175,p64105,178
1176,p64106,178
1177,p64107,178
1178,p64108,178
1179,p64109,178
1180,p64111,178
1181,p64112,178
1182,p64113,178
1183,p64114,178
1184,p64115,178
1185,p64116,178
1186,p64117,178
1187,p64118,178
1188,p64119,173
1189,p64120,178
1190,p64121,178
1191,p69052,72
1192,p80165,518
1193,p80166,455
1194,p80167,457
1195,p80168,451
1196,p80169,449
1197,p90754,178
1198,p90755,178
1199,p90756,178
1200,p91107,178
1201,p91122,213
1202,p99203,29
1203,p99105,1049
1204,p00419,352
1205,p00450,306
1206,p04025,281
1207,p04031,223
1208,p04032,216
1209,p04033,216
1210,p04036,422
1211,p04038,386
1212,p30217,194
1213,p32101,316
1214,p32102,317
1215,p32103,304
1216,p32105,316
1217,p32106,316
1218,p34010,318
1219,p34030,318
1220,p34215,168
1221,p34301,317
1222,p34311,232
1223,p34362,231
1224,p34371,318
1225,p34396,219
1226,p34413,278
1227,p34418,273
1228,p34423,318
1229,p34488,243
1230,p34496,317
1231,p34501,318
1232,p34506,317
1233,p34511,282
1234,p34516,234
1235,p34536,343
1236,p34541,316
1237,p34546,317
1238,p34551,288
1239,p34566,292
1240,p34668,247
1241,p34699,281
1242,p34704,281
1243,p38454,271
1244,p38548,208
1245,p38775,322
1246,p39175,318
1247,p39180,315
1248,p39702,236
1249,p49991,130
1250,p49999,139
1251,p50000,139
1252,p50002,130
1253,p50004,166
1254,p50005,166
1255,p50299,208
1256,p50300,208
1257,p50306,208
1258,p50337,208
1259,p50355,247
1260,p50356,208
1261,p50364,208
1262,p50407,208
1263,p50470,204
1264,p50471,208
1265,p61585,271
1266,p61586,271
1267,p61590,231
1268,p61591,271
1269,p61593,271
1270,p61594,271
1271,p61595,231
1272,p61596,271
1273,p61598,271
1274,p61599,271
1275,p61600,231
1276,p61601,267
1277,p61606,231
1278,p61610,248
1279,p61618,271
1280,p61620,271
1281,p61625,287
1282,p61627,231
1283,p61633,272
1284,p61635,271
1285,p61636,270
1286,p61638,95
1287,p61640,231
1288,p61644,257
1289,p61645,271
