,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
12,10/1/1990,9/30/2020,30,0.9,11383500,TRUE,709.3,30,0.070218366,0.066528228,0.043137808,36.53333333,100,6.366666667,158,0.027363656,0.022098375,0.021133953,0.017219714,0.008775071,0.005403262,0,0,0,0,0.004303119,0.01725446,no trend,FALSE,0.668516622,-0.428184744,-0.057471264,-25,3141.666667,-8.67E-09,9.26E-07,40.01404745,-121.9483181,10/1/1911,9/30/2020,109,CA,FALSE
13,10/1/1990,9/30/2020,30,0.9,11389500,TRUE,23400,27,1.18105263,1.129602052,0.679993958,40.25925926,90,4.296296296,159,0.429537113,0.399427924,0.449023873,0.399226761,0.228461225,0.082286491,0,0,0,0,0.014924111,0.203046951,no trend,FALSE,0.276180993,-1.088938532,-0.142528736,-62,3138,-4.93E-07,2.84E-05,39.2140566,-122.0002508,4/11/1921,9/30/2020,99.5,CA,FALSE
14,10/1/1990,9/30/2020,30,0.9,11390000,TRUE,866.3,29,0.080550227,0.076843015,0.050203629,37.79310345,96.66666667,5.931034483,159,0.032344031,0.025060188,0.023475104,0.017536354,0.010383756,0.003671576,0,0,0,0,0.005290475,0.021978159,no trend,FALSE,0.52069327,-0.642277116,-0.085057471,-37,3141.666667,-1.36E-08,1.05E-06,39.72599524,-121.7088643,10/1/1930,9/30/2020,90,CA,FALSE
15,10/1/1990,9/30/2020,30,0.9,11390500,TRUE,22030,27,0.384376953,0.3650037,0.227458129,40.59259259,90,3.962962963,159,0.144882126,0.123792062,0.138349984,0.120009967,0.07414755,0.026064185,0,0,0,0,0.004991014,0.071835222,no trend,FALSE,0.218042433,-1.231750142,-0.16091954,-70,3138,-4.83E-07,2.61E-05,39.00989476,-121.82469,10/1/1938,9/30/2020,82,CA,FALSE
16,10/1/1990,9/30/2020,30,0.9,11402000,TRUE,605,29,0.066910045,0.061415458,0.034765754,37.75862069,96.66666667,5.793103448,167,0.025926973,0.0232494,0.020698242,0.018063067,0.012996877,0.004094344,0,0,0,0,0.002590924,0.011659074,no trend,FALSE,0.544119683,-0.606595054,-0.08045977,-35,3141.666667,-8.18E-09,7.93E-07,40.002947,-120.9543994,10/1/1933,9/30/2020,87,CA,FALSE
17,10/1/1990,9/30/2020,30,0.9,11413000,TRUE,1880,28,0.12524195,0.078453814,0.04785327,38.96428571,93.33333333,5.535714286,198,0.03755843,0.025510587,0.023227516,0.021594248,0.050005286,0.032765763,0.005366156,0,0,0.000685041,0.007107302,0.038039357,no trend,FALSE,0.816561063,0.231970324,0.032183908,14,3140.666667,4.64E-09,1.73E-06,39.5248937,-120.9380068,10/1/1930,9/30/2020,90,CA,FALSE
18,10/1/1990,9/30/2020,30,0.9,11418500,TRUE,288.3,30,0.044083393,0.04303422,0.028475587,36.53333333,100,7.533333333,159,0.014966615,0.015198555,0.013240836,0.007492328,0.003577138,0,0,0,0,0.000459659,0.002198003,0.008011838,no trend,FALSE,0.642743176,-0.463866806,-0.062068966,-27,3141.666667,-3.80E-09,4.70E-07,39.22433764,-121.2685697,10/1/1935,9/30/2020,85,CA,FALSE
19,10/1/1990,9/30/2020,30,0.9,11421000,TRUE,5250,24,0.599056255,0.4975407,0.323635052,45.58333333,80,4.875,180,0.325683688,0.187932171,0.146492788,0.152788643,0.153196405,0.07127792,0.013896549,0,0,0,0.008978932,0.196300989,no trend,FALSE,0.900163976,-0.125454207,-0.018390805,-8,3113.333333,0,3.12E-06,39.1757251,-121.5249647,10/1/1943,9/30/2020,77,CA,FALSE
20,10/1/1990,9/30/2020,30,0.9,11424000,TRUE,1210,23,0.165890587,0.163025966,0.096723769,47.39130435,76.66666667,4.086956522,173,0.071452239,0.064583478,0.057058005,0.029389897,0.007320698,0,0,0,0,0,0,0.055647361,no trend,FALSE,0.957011028,0.05390478,0.009195402,4,3097.333333,0,1.50E-06,39.0001727,-121.4066238,10/23/1928,9/30/2020,91.9,CA,FALSE
21,10/1/1990,9/30/2020,30,0.9,11425500,TRUE,41100,26,1.755173297,1.644399884,0.929708117,42.11538462,86.66666667,2.653846154,160,0.587739404,0.843033474,0.676111152,0.801498149,0.335355605,0.266309748,0,0,0,0,0,0.292855093,no trend,FALSE,0.371704827,-0.893284518,-0.117241379,-51,3133,-3.95E-07,2.94E-05,38.77434584,-121.5982928,10/1/1929,9/30/2020,91,CA,FALSE
22,10/1/1990,9/30/2020,30,0.9,11427000,TRUE,2113,27,0.190820388,0.164862221,0.104585487,40.59259259,90,7.592592593,178,0.077326956,0.053419561,0.052999909,0.029371996,0.035222736,0.018826049,0,0,0,0.002762184,0.008258416,0.054077679,no trend,FALSE,0.957290225,0.053554354,0.009195402,4,3138,2.85E-09,2.32E-06,38.93600919,-121.023833,10/1/1941,9/30/2020,79,CA,FALSE
23,10/1/1990,9/30/2020,30,0.9,11446500,TRUE,7170,18,0.984801026,0.825965264,0.570764328,60.72222222,60,4.222222222,192,0.476350977,0.372342108,0.207923164,0.171858587,0.187821158,0.083786038,0.077635959,0,0,0,0.00017126,0.378167182,no trend,FALSE,1,0,0.002298851,1,2929,0,2.09E-06,38.6354601,-121.2277262,10/1/1904,9/30/2020,116,CA,FALSE
24,12/9/1995,9/30/2020,25,0.9,11447360,FALSE,25,25,0.012035371,0.011338136,0.008448495,36.04,100,16.84,157,0.002992896,0.003509513,0.001612538,0.000888874,0.000481339,7.95E-05,0,0.000452616,3.47E-05,0.000623061,0.000742734,0.002962113,no trend,FALSE,0.233613001,-1.191103385,-0.173333333,-52,1833.333333,-2.30E-09,1.50E-07,38.64184848,-121.3827302,8/1/1963,9/30/2020,57.2,CA,FALSE
